Sigma,Alpha,Seed,Cost_Saving,Peak_Reduction,SLA,Smart_Breach_Count,Smart_Breach_Energy,Open_Breach_Count,Open_Breach_Energy,Smart_Peak,Open_Peak,Smart_Cost,Open_Cost,Smart_Energy,Open_Energy
0.25,0.01,4,29.564905745236057,60.976488178983715,92.86493133464818,0,0.0,8,18.5086313222066,4.876936086745754,12.497430034267849,4.963883623576474,7.0474579129859505,55.07177124817437,30.555741428432114
0.0,0.01,4,32.7425444751549,60.72592239731194,93.30176965796933,0,0.0,8,18.5086313222066,4.90825037,12.497430034267849,4.739940871458702,7.0474579129859505,54.62777938360505,30.555741428432114
0.1,0.01,4,29.524276511640622,60.16858691585153,93.30176965796933,0,0.0,8,18.5086313222066,4.977902981851664,12.497430034267849,4.966746951714481,7.0474579129859505,54.228166570197665,30.555741428432114
0.0,0.01,2,36.011790124186476,62.8574619688256,91.09450881591496,2,1.015631693004527,9,27.434071488729373,6.286166049679959,16.924438616456065,6.7196873598894475,10.501446083475102,78.16598379115165,39.35931042225946
0.25,0.01,2,36.370280879327524,66.06337007588917,91.31201689728651,6,1.1418811621302893,9,27.434071488729373,5.7435841,16.924438616456065,6.682040646524068,10.501446083475102,78.44359423090484,39.35931042225946
0.1,0.01,2,35.94997141410947,66.05442894429012,90.15249128390374,5,1.1428768861235468,9,27.434071488729373,5.745097336329095,16.924438616456065,6.726179218397684,10.501446083475102,76.51246222529082,39.35931042225946
0.0,0.01,3,31.53684995182784,68.38425366913093,87.97354171092955,1,0.43433813499999996,11,30.17216075142305,5.86867627,18.562510619178163,8.05707534572845,11.768484710474636,74.42136126881367,47.51096416725644
0.1,0.01,3,31.577928598098744,66.72411008014026,86.63359679650131,1,0.5884203000000001,11,30.17216075142305,6.1768406,18.562510619178163,8.052241011522788,11.768484710474636,74.51948061397617,47.51096416725644
0.25,0.01,3,31.247520021004622,73.06398847344407,86.77088334202296,0,0.0,11,30.17216075142305,5.0,18.562510619178163,8.091125094400207,11.768484710474636,72.925094439219,47.51096416725644
0.5,0.01,2,35.75533118067067,66.32811091022582,90.12727194713037,2,0.5641776332083319,9,27.434071488729373,5.6987782,16.924438616456065,6.74661925756901,10.501446083475102,77.42874558466272,39.35931042225946
0.5,0.01,4,32.558608598260115,60.60902758576429,92.41433832107944,0,0.0,8,18.5086313222066,4.922859217286858,12.497430034267849,4.752903674969744,7.0474579129859505,54.56753932690327,30.555741428432114
0.25,0.01,0,16.86911544080744,62.534367437801755,87.473972522997,2,0.8759280063187873,9,26.429462920267863,6.068212712637575,16.196744316443834,8.35396127489175,10.04916682793552,76.09399103638427,49.49019033571015
0.5,0.01,0,17.869733547878656,60.33434678459243,88.37178810084274,4,1.3908895863734232,9,26.429462920267863,6.4245444327468455,16.196744316443834,8.253407492001633,10.04916682793552,76.15701241031958,49.49019033571015
0.1,0.01,0,18.67349761733726,64.91480121575637,88.32145581144334,4,0.8250511081255016,9,26.429462920267863,5.682659940000001,16.196744316443834,8.172635899758735,10.04916682793552,73.66394779661023,49.49019033571015
0.0,0.01,0,17.91156362492006,64.42063435933764,88.34352137016576,2,0.5459659911153758,9,26.429462920267863,5.762698882230752,16.196744316443834,8.249203917775489,10.04916682793552,74.10282006065377,49.49019033571015
