Sigma,Alpha,Seed,Cost,Peak
0.75,0.05,0,13.8954285338592,5.119015939513412
0.5,0.01,0,14.826490678692494,5.302097392235033
0.75,0.01,0,12.967466389511028,7.271901349999999
0.1,0.05,0,25.325619684107906,8.919951899923985
0.1,0.01,0,24.479170581663787,8.072882382553844
0.1,0.15,0,25.959986324596503,9.23009449064475
0.25,0.15,0,24.286108721038424,8.292740698529345
0.5,0.05,0,20.73355001262735,4.482076106756921
0.5,0.15,0,24.031928340926793,7.030540378603119
0.25,0.01,0,24.434890243090237,6.460207878581892
0.25,0.05,0,24.173833008506445,7.775748771140388
0.75,0.15,0,21.45896553257656,4.647578626440774
0.1,0.3,0,26.421175313553096,9.537673841795332
0.25,0.3,0,25.467774478580644,7.845669257720064
0.0,0.15,0,26.908111776459258,8.827507604251132
0.0,0.05,0,26.908111776459258,8.827507604251132
0.0,0.3,0,26.908111776459258,8.827507604251132
0.0,0.01,0,26.83653901928144,8.443183878366122
0.5,0.3,0,24.32619339690281,8.318418071077406
0.75,0.3,0,23.93173623533715,7.8653137684313466
0.1,0.5,0,26.908111776459258,8.827507604251132
0.25,0.5,0,26.908111776459258,8.827507604251132
0.0,0.5,0,26.908111776459258,8.827507604251132
0.75,0.5,0,26.908111776459258,8.827507604251132
0.5,0.5,0,26.908111776459258,8.827507604251132
